Date,Open,High,Low,Close*,Adj Close**,Volume
"Dec 08, 2022","15,986.00","15,986.00","15,849.00","15,957.00","15,957.00","2,783"
"Dec 07, 2022","16,206.00","16,206.00","16,025.00","15,982.00","15,982.00","4,869"
"Dec 06, 2022","16,277.00","16,277.00","16,108.00","16,188.00","16,188.00","20,565"
"Dec 05, 2022","16,425.00","16,425.00","16,205.00","16,302.00","16,302.00","1,466"
"Dec 02, 2022","16,520.00","16,582.00","16,167.00","16,345.00","16,345.00","8,076"
"Dec 01, 2022","16,070.00","16,766.00","16,041.00","16,709.00","16,709.00","4,710"
"Nov 30, 2022","15,600.00","15,684.00","15,550.00","15,659.00","15,659.00","7,663"
"Nov 29, 2022","15,658.00","15,712.00","15,536.00","15,575.00","15,575.00","16,929"
"Nov 28, 2022","15,645.00","15,750.00","15,601.00","15,669.00","15,669.00","1,834"
"Nov 25, 2022","15,719.00","15,807.00","15,718.00","15,720.00","15,720.00",701
"Nov 24, 2022","15,579.00","15,719.00","15,530.00","15,669.00","15,669.00",978
"Nov 23, 2022","15,506.00","15,600.00","15,506.00","15,538.00","15,538.00",399
"Nov 22, 2022","15,391.00","15,478.00","15,391.00","15,493.00","15,493.00","2,414"
"Nov 21, 2022","15,390.00","15,440.00","15,350.00","15,351.00","15,351.00","3,475"
"Nov 18, 2022","15,517.00","15,535.00","15,418.00","15,430.00","15,430.00",704
"Nov 17, 2022","15,338.00","15,364.00","15,277.00","15,308.00","15,308.00","1,919"
"Nov 16, 2022","15,320.00","15,346.00","15,283.00","15,230.00","15,230.00",598
"Nov 15, 2022","15,150.00","15,348.00","15,140.00","15,320.00","15,320.00","3,236"
"Nov 14, 2022","15,099.00","15,212.00","15,094.00","15,177.00","15,177.00","2,081"
"Nov 11, 2022","15,299.00","15,299.00","15,022.00","15,096.00","15,096.00","9,485"
"Nov 10, 2022","14,945.00","15,002.00","14,907.00","15,094.00","15,094.00",505
"Nov 09, 2022","14,929.00","15,060.00","14,905.00","14,950.00","14,950.00","2,198"
"Nov 08, 2022","15,043.00","15,120.00","14,982.00","15,056.00","15,056.00","91,519"
"Nov 07, 2022","15,063.00","15,191.00","15,007.00","15,009.00","15,009.00","9,775"
"Nov 04, 2022","14,948.00","15,067.00","14,947.00","15,132.00","15,132.00","5,076"
"Nov 03, 2022","14,970.00","14,970.00","14,794.00","14,874.00","14,874.00","1,857"
"Nov 02, 2022","15,200.00","15,225.00","15,007.00","15,068.00","15,068.00","1,841"
"Nov 01, 2022","15,204.00","15,299.00","15,182.00","15,200.00","15,200.00","3,515"
"Oct 31, 2022","14,972.00","15,225.00","14,972.00","15,179.00","15,179.00","1,898"
"Oct 28, 2022","14,768.00","14,971.00","14,768.00","14,928.00","14,928.00","2,666"
"Oct 27, 2022","14,828.00","14,971.00","14,828.00","14,867.00","14,867.00","1,047"
"Oct 26, 2022","14,794.00","14,854.00","14,726.00","14,842.00","14,842.00","2,783"
"Oct 25, 2022","14,795.00","14,826.00","14,697.00","14,788.00","14,788.00","2,330"
"Oct 24, 2022","14,532.00","14,780.00","14,487.00","14,778.00","14,778.00","9,056"
"Oct 21, 2022","14,400.00","14,400.00","14,200.00","14,356.00","14,356.00","6,741"
"Oct 20, 2022","14,300.00","14,397.00","14,300.00","14,447.00","14,447.00",547
"Oct 19, 2022","14,387.00","14,387.00","14,296.00","14,405.00","14,405.00",519
"Oct 18, 2022","14,462.00","14,494.00","14,407.00","14,424.00","14,424.00","2,566"
"Oct 17, 2022","14,268.00","14,396.00","14,244.00","14,448.00","14,448.00","6,029"
"Oct 14, 2022","14,350.00","14,438.00","14,250.00","14,143.00","14,143.00",937
"Oct 13, 2022","13,917.00","14,269.00","13,917.00","14,208.00","14,208.00","1,804"
"Oct 12, 2022","13,900.00","14,016.00","13,841.00","13,949.00","13,949.00","1,952"
"Oct 11, 2022","14,002.00","14,029.00","13,904.00","13,980.00","13,980.00","5,950"
"Oct 10, 2022","14,130.00","14,170.00","14,106.00","14,121.00","14,121.00",966
"Oct 07, 2022","14,163.00","14,313.00","14,163.00","14,252.00","14,252.00","5,496"
"Oct 06, 2022","14,408.00","14,408.00","14,149.00","14,193.00","14,193.00","7,705"
"Oct 05, 2022","14,431.00","14,431.00","14,277.00","14,289.00","14,289.00","3,031"
"Oct 04, 2022","14,233.00","14,437.00","14,233.00","14,411.00","14,411.00","4,625"
"Oct 03, 2022","13,998.00","14,121.00","13,904.00","14,061.00","14,061.00","18,746"
"Sep 30, 2022","13,926.00","14,067.00","13,823.00","13,980.00","13,980.00","16,786"
"Sep 29, 2022","13,465.00","13,771.00","13,465.00","13,743.00","13,743.00","18,116"
"Sep 28, 2022","13,650.00","13,730.00","13,400.00","13,628.00","13,628.00","53,132"
